Model,Outer Repeat,Fold,Experiment,Density,Cutting Speed,Feed Rate,Experiment ID,MAE,MSE,RMSE,Window Count
RNN,1,2,"(25, 40, 10, 1)",25,40,10,1,6.081501483917236,67.74185943603516,8.230544297677715,179
RNN,1,2,"(25, 40, 15, 1)",25,40,15,1,6.267714977264404,60.66633605957031,7.788859740653334,179
RNN,1,2,"(25, 63, 15, 1)",25,63,15,1,12.9723539352417,211.2490234375,14.53440825893851,179
RNN,1,2,"(25, 100, 15, 1)",25,100,15,1,7.045413017272949,57.29050827026367,7.569049363709004,179
TCN,1,2,"(10, 10, 15, 2)",10,10,15,2,3.918937921524048,22.734289169311523,4.768048780089348,92
TCN,1,2,"(10, 10, 20, 1)",10,10,20,1,1.6641204357147217,3.9250402450561523,1.981171432525755,92
TCN,1,2,"(10, 16, 20, 2)",10,16,20,2,3.318669557571411,13.726286888122559,3.704900388421065,92
TCN,1,2,"(10, 25, 20, 2)",10,25,20,2,1.0312594175338745,1.857225775718689,1.362800710198923,92
TCN,1,2,"(10, 40, 10, 3)",10,40,10,3,3.19415020942688,15.53930950164795,3.9419930874683113,92
TCN,1,2,"(10, 40, 15, 1)",10,40,15,1,3.5352604389190674,15.108911514282227,3.8870183321258245,92
TCN,1,2,"(10, 40, 20, 1)",10,40,20,1,2.9347329139709473,11.663808822631836,3.4152318841671403,92
TCN,1,2,"(10, 63, 10, 3)",10,63,10,3,4.1301398277282715,23.403959274291992,4.837763871283094,92
TCN,1,2,"(10, 100, 10, 3)",10,100,10,3,4.5124921798706055,24.113916397094727,4.9105922654090035,92
TCN,1,2,"(10, 100, 15, 2)",10,100,15,2,1.6359206438064575,4.388720989227295,2.0949274424731983,92
TCN,1,2,"(15, 10, 10, 2)",15,10,10,2,2.5276429653167725,9.186829566955566,3.030978318456859,92
TCN,1,2,"(15, 10, 20, 1)",15,10,20,1,3.329988479614258,17.570966720581055,4.191773696250914,92
TCN,1,2,"(15, 25, 10, 1)",15,25,10,1,2.989161729812622,18.0837345123291,4.252497444129638,92
TCN,1,2,"(15, 25, 15, 1)",15,25,15,1,9.51907730102539,96.9993667602539,9.848825653866246,92
TCN,1,2,"(15, 25, 20, 2)",15,25,20,2,6.7754902839660645,65.5994644165039,8.099349629229739,92
TCN,1,2,"(15, 40, 10, 3)",15,40,10,3,2.579162359237671,8.524765968322754,2.9197201866485005,92
TCN,1,2,"(15, 40, 15, 3)",15,40,15,3,2.7537026405334473,10.734333038330078,3.2763292017637786,92
TCN,1,2,"(15, 63, 15, 1)",15,63,15,1,4.834669589996338,28.915851593017578,5.377346147777505,92
TCN,1,2,"(15, 63, 20, 1)",15,63,20,1,1.7758949995040894,8.085545539855957,2.8435093704533414,92
TCN,1,2,"(15, 100, 15, 3)",15,100,15,3,2.134369134902954,6.46881103515625,2.543385742500781,92
TCN,1,2,"(15, 100, 20, 2)",15,100,20,2,1.4221878051757812,2.449641704559326,1.5651331267848516,92
TCN,1,2,"(20, 10, 15, 2)",20,10,15,2,11.866850852966309,196.59283447265625,14.02115667385028,92
TCN,1,2,"(20, 10, 20, 2)",20,10,20,2,15.629759788513184,323.8324279785156,17.995344619609696,92
TCN,1,2,"(20, 16, 15, 2)",20,16,15,2,6.989810466766357,66.32498168945312,8.144015084063458,92
TCN,1,2,"(20, 25, 10, 3)",20,25,10,3,7.798031806945801,134.86874389648438,11.613300301657766,92
TCN,1,2,"(20, 40, 10, 3)",20,40,10,3,6.121817588806152,49.9769287109375,7.069436237136417,92
TCN,1,2,"(20, 40, 15, 2)",20,40,15,2,10.2186918258667,170.90682983398438,13.073133894900042,92
TCN,1,2,"(20, 40, 20, 3)",20,40,20,3,7.341843128204346,78.5071029663086,8.860423407846184,92
TCN,1,2,"(20, 63, 10, 3)",20,63,10,3,6.312360763549805,93.0972671508789,9.648692509914435,92
TCN,1,2,"(20, 63, 15, 2)",20,63,15,2,3.5249648094177246,17.852941513061523,4.225274134664108,92
TCN,1,2,"(20, 100, 15, 2)",20,100,15,2,3.5051329135894775,16.121692657470703,4.015182767629725,92
TCN,1,2,"(20, 100, 20, 3)",20,100,20,3,4.974612712860107,29.90094757080078,5.468175890623927,92
TCN,1,2,"(25, 10, 20, 2)",25,10,20,2,8.695761680603027,117.95751953125,10.86082499312322,92
TCN,1,2,"(25, 16, 10, 2)",25,16,10,2,15.079339981079102,333.2132263183594,18.254129021083404,92
TCN,1,2,"(25, 25, 10, 2)",25,25,10,2,16.486251831054688,347.7842102050781,18.648973435690184,92
TCN,1,2,"(25, 40, 10, 1)",25,40,10,1,10.061535835266113,232.0877227783203,15.23442558084552,92
TCN,1,2,"(25, 40, 15, 1)",25,40,15,1,9.838454246520996,122.97358703613281,11.089345654101184,92
TCN,1,2,"(25, 63, 15, 1)",25,63,15,1,7.312229156494141,99.55005645751953,9.977477459634752,92
TCN,1,2,"(25, 100, 15, 1)",25,100,15,1,10.202951431274414,130.2562713623047,11.412986960577177,92
LSTM,1,3,"(10, 10, 10, 2)",10,10,10,2,3.6683878898620605,18.707111358642578,4.325171829955727,179
LSTM,1,3,"(10, 10, 15, 1)",10,10,15,1,2.3594746589660645,10.48051643371582,3.237362573718894,179
LSTM,1,3,"(10, 16, 10, 2)",10,16,10,2,3.4402379989624023,13.76358699798584,3.709930861618022,179
LSTM,1,3,"(10, 16, 15, 3)",10,16,15,3,5.904007911682129,37.17626190185547,6.097233954987742,179
LSTM,1,3,"(10, 25, 15, 3)",10,25,15,3,0.7423559427261353,1.0100350379943848,1.005004994014649,179
LSTM,1,3,"(10, 25, 20, 1)",10,25,20,1,4.655761241912842,23.361995697021484,4.833424841354367,179
LSTM,1,3,"(10, 63, 10, 2)",10,63,10,2,3.3935768604278564,13.792914390563965,3.713881310780403,179
LSTM,1,3,"(10, 63, 15, 2)",10,63,15,2,1.3714081048965454,3.297597646713257,1.8159288660939494,179
LSTM,1,3,"(10, 63, 20, 1)",10,63,20,1,1.0267024040222168,1.3383536338806152,1.1568723498643294,179
LSTM,1,3,"(10, 100, 15, 3)",10,100,15,3,2.833325147628784,11.89474105834961,3.4488753323873,179
LSTM,1,3,"(10, 100, 20, 2)",10,100,20,2,5.223098278045654,33.64223861694336,5.800192981008767,179
LSTM,1,3,"(15, 10, 15, 2)",15,10,15,2,2.7708020210266113,11.647521018981934,3.4128464687093576,179
LSTM,1,3,"(15, 10, 20, 3)",15,10,20,3,2.2474286556243896,12.817020416259766,3.580086649266993,179
LSTM,1,3,"(15, 16, 10, 1)",15,16,10,1,3.058554172515869,13.898703575134277,3.728096508291366,179
LSTM,1,3,"(15, 25, 20, 3)",15,25,20,3,2.8620376586914062,14.724651336669922,3.837271339984954,179
LSTM,1,3,"(15, 40, 15, 2)",15,40,15,2,1.5920276641845703,4.580836772918701,2.1402889461282326,179
LSTM,1,3,"(15, 40, 20, 2)",15,40,20,2,4.03700065612793,21.86463737487793,4.675963791014418,179
LSTM,1,3,"(15, 63, 20, 2)",15,63,20,2,1.8320058584213257,5.286184787750244,2.299170456436461,179
LSTM,1,3,"(15, 100, 10, 1)",15,100,10,1,3.667236566543579,16.886383056640625,4.109304449251798,179
LSTM,1,3,"(20, 10, 10, 3)",20,10,10,3,24.030649185180664,660.314453125,25.69658446418512,179
LSTM,1,3,"(20, 10, 15, 3)",20,10,15,3,13.207372665405273,286.9450378417969,16.93945211161792,179
LSTM,1,3,"(20, 16, 10, 1)",20,16,10,1,4.181167125701904,24.015527725219727,4.900564021132642,179
LSTM,1,3,"(20, 16, 15, 3)",20,16,15,3,21.264976501464844,521.5366821289062,22.837177630541525,179
LSTM,1,3,"(20, 16, 20, 2)",20,16,20,2,4.814335346221924,34.45455551147461,5.869800295706372,179
LSTM,1,3,"(20, 25, 15, 1)",20,25,15,1,10.536152839660645,129.33511352539062,11.372559673415243,179
LSTM,1,3,"(20, 25, 20, 3)",20,25,20,3,4.009008884429932,29.536718368530273,5.434769394236546,179
LSTM,1,3,"(20, 40, 15, 1)",20,40,15,1,4.996491432189941,38.351959228515625,6.192895867727442,179
LSTM,1,3,"(20, 40, 20, 2)",20,40,20,2,3.8114442825317383,20.91590118408203,4.573390556696643,179
LSTM,1,3,"(20, 63, 15, 3)",20,63,15,3,2.5496668815612793,10.543434143066406,3.2470654663967595,179
LSTM,1,3,"(20, 63, 20, 3)",20,63,20,3,6.470460414886475,46.72832107543945,6.835811661788193,179
LSTM,1,3,"(20, 100, 10, 1)",20,100,10,1,13.36976146697998,255.572509765625,15.986635348491095,179
LSTM,1,3,"(20, 100, 20, 1)",20,100,20,1,9.12755012512207,105.70753479003906,10.281416964117303,179
LSTM,1,3,"(25, 10, 10, 2)",25,10,10,2,9.782905578613281,115.60221862792969,10.751847219335367,179
